location,country_code,latitude,longitude,confirmed,dead,recovered,updated
Assam,in,26.2006043,92.9375739,8227,12,5647,2020-07-01 06:48:22.696131+00:00
Nordrhein-Westfalen,de,51.4332367,7.6615938,63155,1837,None,2020-09-17 03:50:23.359123+00:00
Arkansas,us,35.20105,-91.8318334,71497,1150,None,2020-09-15 03:48:00.263063+00:00
Nova Scotia,ca,44.6819866,-63.744311,1086,65,None,2020-09-16 00:00:00+00:00
Kentucky,us,37.8393332,-84.2700179,61986,1112,None,2020-09-15 03:48:00.263063+00:00
California,us,36.778261,-119.4179324,769917,14606,None,2020-09-15 03:48:00.263063+00:00
Maine,us,45.253783,-69.4454689,4939,134,None,2020-09-17 03:45:35.025537+00:00
Northwest Territories,ca,64.8255441,-124.8457334,5,0,None,2020-09-16 00:00:00+00:00
Thüringen,de,51.0109892,10.845346,3834,189,None,2020-09-17 03:50:23.432581+00:00
New York,us,40.7127753,-74.0059728,450425,32655,None,2020-09-15 03:48:00.263063+00:00
Andaman and Nicobar Islands,in,11.7400867,92.6586401,97,0,50,2020-07-01 06:48:22.696131+00:00
Oregon,us,43.8041334,-120.5542012,29664,519,None,2020-09-15 03:48:00.263063+00:00
Montana,us,46.8796822,-110.3625658,9281,141,None,2020-09-15 03:48:00.263063+00:00
Colorado,us,39.5500507,-105.7820674,62575,2006,None,2020-09-15 03:48:00.263063+00:00
Quebec,ca,52.9399159,-73.5491361,65857,5788,None,2020-09-16 00:00:00+00:00
Illinois,us,40.6331249,-89.3985283,267380,8589,None,2020-09-15 03:48:00.263063+00:00
New Hampshire,us,43.1938516,-71.5723953,7750,438,0,2020-09-15 03:48:03.012143+00:00
Rondônia,br,-11.5057341,-63.580611,11224,296,3700,2020-06-12 00:00:00+00:00
Niedersachsen**,de,52.6367036,9.8450766,13136,618,None,2020-06-22 08:34:45.398910+00:00
West Bengal,in,22.9867569,87.8549755,18559,668,12130,2020-07-01 06:48:22.696131+00:00
Espírito Santo,br,-19.1834229,-40.3088626,25502,999,13921,2020-06-12 00:00:00+00:00
Tocantins,br,-10.17528,-48.2982474,6744,128,3543,2020-06-12 00:00:00+00:00
Mecklenburg-Vorpommern*,de,53.6126505,12.4295953,1055,20,None,2020-09-15 06:36:23.327356+00:00
Rio Grande do Norte,br,-5.4025803,-36.954107,13544,514,1993,2020-06-12 00:00:00+00:00
Andhra Pradesh,in,15.9128998,79.7399875,14595,187,6511,2020-07-01 06:48:22.696131+00:00
Hamburg,de,53.5510846,9.9936819,6917,268,None,2020-09-17 03:50:23.310971+00:00
Île-de-France,fr,48.8499198,2.6370411,42262,7840,31948,2020-09-17 03:49:51.769180+00:00
Newfoundland and Labrador,ca,53.1355091,-57.6604364,271,3,None,2020-09-16 00:00:00+00:00
Delhi,in,28.7040592,77.1024902,87360,2742,58348,2020-07-01 06:48:22.696131+00:00
Baden-Württemberg**,de,48.6616037,9.3501336,35272,1824,None,2020-06-22 08:34:45.256351+00:00
Sachsen**,de,51.1045407,13.2017384,5408,221,None,2020-06-22 08:34:45.470523+00:00
Goa,in,15.2993265,74.123996,1315,3,596,2020-07-01 06:48:22.696131+00:00
Sikkim,in,27.5329718,88.5122178,89,0,52,2020-07-01 06:48:22.696131+00:00
Ceará,br,-5.4983977,-39.3206241,75784,4812,53906,2020-06-12 00:00:00+00:00
Corsica,fr,42.0396042,9.0128926,358,61,278,2020-09-17 03:49:51.747434+00:00
Chandigarh,in,30.7333148,76.7794179,440,6,364,2020-07-01 06:48:22.696131+00:00
Minnesota,us,46.729553,-94.6858998,85403,1979,None,2020-09-15 03:48:00.263063+00:00
Amazonas,br,-3.4168427,-65.8560646,55111,2429,44447,2020-06-12 00:00:00+00:00
West Virginia,us,38.5976262,-80.4549026,12986,283,0,2020-09-15 03:48:03.012143+00:00
Mississippi,us,32.3546679,-89.3985283,90523,2734,None,2020-09-17 03:45:35.025537+00:00
Mato Grosso do Sul,br,-20.7722295,-54.7851531,3001,28,1552,2020-06-12 00:00:00+00:00
Dadar Nagar Haveli,in,20.1808672,73.0169135,2,0,0,2020-05-30 03:35:09.086737+00:00
Saskatchewan,ca,52.9399159,-106.4508639,1751,24,None,2020-09-16 00:00:00+00:00
Pays de la Loire,fr,47.7632836,-0.3299687,3117,503,2519,2020-09-17 03:49:51.751049+00:00
Manitoba,ca,53.7608608,-98.8138762,1489,16,None,2020-09-16 00:00:00+00:00
Chhattisgarh,in,21.2786567,81.8661442,2860,13,2250,2020-07-01 06:48:22.696131+00:00
Nunavut,ca,70.2997711,-83.107577,0,0,None,2020-09-16 00:00:00+00:00
Niedersachsen*,de,52.6367036,9.8450766,11578,572,None,2020-05-26 06:33:37.421952+00:00
Nebraska,us,41.4925374,-99.9018131,38970,451,None,2020-09-15 03:48:00.263063+00:00
Amapá,br,0.9019925,-52.0029565,15683,312,7253,2020-06-12 00:00:00+00:00
Normandie,fr,48.8798704,0.1712529,2548,451,1957,2020-09-17 03:49:51.754060+00:00
Bahia,br,-12.579738,-41.7007272,34665,1039,14976,2020-06-12 00:00:00+00:00
New Jersey,us,40.0583238,-74.4056612,199193,16043,None,2020-09-15 03:48:00.263063+00:00
Wisconsin,us,43.7844397,-88.7878678,97002,1230,None,2020-09-15 03:48:00.263063+00:00
Wyoming,us,43.0759678,-107.2902839,4440,42,0,2020-09-15 03:48:03.012143+00:00
Guam,us,13.4769474,144.7425932,2935,29,None,2020-09-15 03:48:00.263063+00:00
